Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags, Fwd Header Length, Bwd Header Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count,PSH_Flag_Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio,Average_Packet_Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label,Target
80,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,0,666666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0,0,0,0,0,0,0,0,DoS Hulk,1
53,151,2,2,82,114,41,41,41,0,57,57,57,0,1298013.245,26490.06623,50.33333333,81.11925378,144,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,13245.03311,13245.03311,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41,57,64,0,0,0,0,0,0,2,82,2,114,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,0
80,142608,3,5,344,11595,344,0,114.6666667,198.6084926,4344,0,2319,2196.731436,83719.00595,56.09783462,20372.57143,48584.45859,130099,7,12023,6011.5,8491.645335,12016,7,142514,35628.5,63224.95782,130099,163,0,0,0,0,104,168,21.03668798,35.06114664,0,4344,1326.555556,1951.66308,3808988.778,0,0,0,1,0,0,0,0,1,1492.375,114.6666667,2319,104,0,0,0,0,0,0,3,344,5,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,1564325,6,7,1044,11595,348,0,174,190.60745,5792,0,1656.428571,2118.227235,8079.523117,8.310293577,130360.4167,286417.6408,999968,5,1435989,287197.8,411570.2567,999968,5,564295,94049.16667,175147.3107,436021,44,0,0,0,0,208,232,3.835520113,4.474773465,0,5792,902.7857143,1642.713804,2698508.643,0,0,0,1,0,0,0,0,1,972.2307692,174,1656.428571,208,0,0,0,0,0,0,6,1044,7,11595,29200,235,3,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,85638182,7,7,348,11595,348,0,49.71428571,131.5316366,4344,0,1656.428571,1757.579003,139.4588222,0.163478482,6587552.462,23400000,84500000,1,85500000,14300000,34400000,84500000,1,147494,24582.33333,53432.12887,133064,47,0,0,0,0,240,232,0.081739241,0.081739241,0,4344,796.2,1423.097236,2025205.743,0,0,0,0,1,0,0,0,1,853.0714286,49.71428571,1656.428571,240,0,0,0,0,0,0,7,348,7,11595,274,235,1,32,5,0,5,5,84500000,0,84500000,84500000,DoS Hulk,1
80,138517,3,6,357,11595,357,0,119,206.1140461,5792,0,1932.5,2181.008184,86285.43789,64.97397431,17314.625,44506.03229,127137,46,11001,5500.5,6374.567632,10008,993,138460,27692,55792.76284,127137,46,0,0,0,0,104,200,21.65799144,43.31598288,0,5792,1195.2,1886.611884,3559304.4,0,0,0,1,0,0,0,0,2,1328,119,1932.5,104,0,0,0,0,0,0,3,357,6,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,1002543,4,6,366,11595,366,0,91.5,183,5792,0,1932.5,2534.051598,11930.66033,9.974634504,111393.6667,332271.9094,997449,48,1001562,333854,574690.4628,997449,1436,5013,1002.6,1741.95818,4095,48,0,0,0,0,144,200,3.989853802,5.984780703,0,5792,1087.363636,2040.647558,4164242.455,0,0,0,1,0,0,0,0,1,1196.1,91.5,1932.5,144,0,0,0,0,0,0,4,366,6,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,1
53,1154336,1,1,41,183,41,41,41,0,183,183,183,0,194.0509522,1.732597788,1154336,0,1154336,1154336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.866298894,0.866298894,41,183,88.33333333,81.98373822,6721.333333,0,0,0,0,0,0,0,0,1,132.5,41,183,20,0,0,0,0,0,0,1,41,1,183,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN,0
443,22699884,63,60,1958,90767,409,0,31.07936508,100.3560278,2988,0,1512.783333,644.4561521,4084.822636,5.418529892,186064.623,1279886.72,10006469,2,22699884,366127.1613,1785517.507,10023792,28,12676215,214851.1017,1313291.151,10023250,19,0,0,0,0,2024,1928,2.775344579,2.643185313,0,2988,747.7822581,870.2960487,757415.2124,0,0,0,1,0,0,0,0,0,753.8617886,31.07936508,1512.783333,2024,0,0,0,0,0,0,63,1958,60,90767,29200,130,7,32,1343741,1875838.325,2670159,17323,10006187,398.8082246,10006469,10005905,BENIGN,0
13722,14,1,1,2,6,2,2,2,0,6,6,6,0,571428.5714,142857.1429,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,71428.57143,71428.57143,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
443,76521909,2402,3409,20800,7109615,232,0,8.659450458,19.14206768,4380,0,2085.542681,841.9005669,93181.35281,75.93903597,13170.72444,766617.1114,58034311,-1,76521909,31870.84923,1192437.477,58034311,2,76446330,22431.43486,1002412.266,58106351,0,0,0,0,0,51148,68192,31.38970305,44.54933292,0,4380,1226.843599,1209.164519,1462078.834,0,0,0,1,0,0,0,0,1,1227.054724,8.659450458,2085.542681,51148,0,0,0,0,0,0,2402,20800,3409,7109615,8192,54,2191,20,6142361.5,1287144.352,7052510,5232213,32008061,36806675.73,58034311,5981811,BENIGN,0
443,7000955,9,6,943,1412,654,0,104.7777778,220.2712974,1236,0,235.3333333,493.4351697,336.3826792,2.142564836,500068.2143,1813870.488,6801701,55,7000955,875119.375,2394971.247,6801759,452,6949226,1389845.2,3047848.226,6841807,339,0,0,0,0,296,200,1.285538902,0.857025934,0,1236,147.1875,335.660189,112667.7625,0,0,0,1,0,0,0,0,0,157,104.7777778,235.3333333,296,0,0,0,0,0,0,9,943,6,1412,29200,115,3,32,198744,0,198744,198744,6801701,0,6801701,6801701,BENIGN,0
52848,43,1,1,2,6,2,2,2,0,6,6,6,0,186046.5116,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
53,53198,1,1,48,103,48,48,48,0,103,103,103,0,2838.452573,37.59539832,53198,0,53198,53198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18.79769916,18.79769916,48,103,66.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,99.5,48,103,20,0,0,0,0,0,0,1,48,1,103,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN,0
1082,39,1,1,2,6,2,2,2,0,6,6,6,0,205128.2051,51282.05128,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,25641.02564,25641.02564,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
443,7831027,8,6,849,4024,501,0,106.125,178.3274977,2708,0,670.6666667,1065.757508,622.2683181,1.787760405,602386.6923,1426995.762,4999385,3,2831639,404519.8571,708733.6041,1971046,42212,7788890,1557778,2076552.343,4999429,3,0,0,0,0,264,200,1.021577374,0.766183031,0,2708,324.8666667,712.5200615,507684.8381,0,0,0,1,0,0,0,0,0,348.0714286,106.125,670.6666667,264,0,0,0,0,0,0,8,849,6,4024,29200,126,3,32,0,0,0,0,0,0,0,0,BENIGN,0
443,427923,15,14,881,11597,243,0,58.73333333,81.80592597,1783,0,828.3571429,712.1788461,29159.45158,67.76920147,15282.96429,32186.36913,124274,1,427923,30565.92857,55478.43424,197122,4,351896,27068.92308,46720.33248,148672,1,0,0,0,0,324,292,35.05303524,32.71616623,0,1783,415.9333333,620.218534,384671.0299,0,0,0,1,0,0,0,0,0,430.2758621,58.73333333,828.3571429,324,0,0,0,0,0,0,15,881,14,11597,8192,35,13,20,0,0,0,0,0,0,0,0,BENIGN,0
55726,206,2,1,31,6,31,0,15.5,21.92031022,6,6,6,0,179611.6505,14563.1068,103,41.01219331,132,74,206,206,0,206,206,0,0,0,0,0,1,0,0,0,64,20,9708.737864,4854.368932,0,31,17,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6,64,0,0,0,0,0,0,2,31,1,6,287,0,0,32,0,0,0,0,0,0,0,0,BENIGN,0
1045,47,1,1,2,6,2,2,2,0,6,6,6,0,170212.766,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,21276.59574,21276.59574,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
1031,78,1,1,2,6,2,2,2,0,6,6,6,0,102564.1026,25641.02564,78,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,12820.51282,12820.51282,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
3168,41,1,1,2,6,2,2,2,0,6,6,6,0,195121.9512,48780.4878,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,24390.2439,24390.2439,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
1045,47,1,1,2,6,2,2,2,0,6,6,6,0,170212.766,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,21276.59574,21276.59574,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
545,55,1,1,2,6,2,2,2,0,6,6,6,0,145454.5455,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
6699,63,1,1,2,6,2,2,2,0,6,6,6,0,126984.127,31746.03175,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,15873.01587,15873.01587,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
1090,43,1,1,2,6,2,2,2,0,6,6,6,0,186046.5116,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
5910,42,1,1,2,6,2,2,2,0,6,6,6,0,190476.1905,47619.04762,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,23809.52381,23809.52381,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan,1
80,891490,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,13042.21023,8.973740592,127355.7143,332704.0346,881821,56,9049,4524.5,6319.413303,8993,56,891429,222857.25,439329.8195,881821,182,0,0,0,0,72,112,3.365152722,5.60858787,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,146685,3,5,355,11595,355,0,118.3333333,204.9593456,7240,0,2319,3331.638186,81467.08934,54.53863722,20955,50511.92069,135143,5,11045,5522.5,7802.92333,11040,5,146543,36635.75,65868.72214,135143,159,0,0,0,0,104,168,20.45198896,34.08664826,0,7240,1327.777778,2635.031726,6943392.194,0,0,0,1,0,0,0,0,1,1493.75,118.3333333,2319,104,0,0,0,0,0,0,3,355,5,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,1222265,3,4,26,11601,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,9512.667057,5.72707228,203710.8333,494892.0441,1213886,44,8130,4065,5260.874452,7785,345,1222221,407407,698442.8045,1213886,159,0,0,0,0,72,92,2.454459548,3.272612731,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,2072737,4,0,24,0,6,6,6,0,0,0,0,0,11.57889303,1.929815505,690912.3333,1196024.107,2071962,220,2072737,690912.3333,1196024.107,2071962,220,0,0,0,0,0,0,0,0,0,80,0,1.929815505,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,1
80,1572305,3,5,26,11601,20,0,8.666666667,10.26320288,4380,0,2320.2,2207.341206,7394.875676,5.088071335,224615,592429.3074,1568116,28,3342,1671,2138.290906,3183,159,1572277,393069.25,783365.7962,1568116,148,0,0,0,0,72,112,1.908026751,3.180044584,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,899382,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,12934.4372,10.00687139,112422.75,317488.3802,898166,3,1076,538,700.0357134,1033,43,899308,179861.6,401544.6265,898166,3,0,0,0,0,72,132,3.335623795,6.67124759,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,931572,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,12487.49426,8.587634665,133081.7143,351614.3876,930468,4,879,439.5,413.657467,732,147,931557,232889.25,465052.6747,930468,4,0,0,0,0,72,112,3.220362999,5.367271666,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,73176798,8,5,56,11601,20,0,7,5.656854249,8760,0,2320.2,3668.897,159.2991265,0.177651938,6098066.5,17800000,61700000,3,72400000,10300000,23000000,61700000,3,793635,198408.75,379340.6808,767124,187,0,0,0,0,172,112,0.10932427,0.068327669,0,8760,833.0714286,2337.724089,5464953.918,0,0,0,0,1,0,0,0,0,897.1538462,7,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,928,0,928,928,36200000,36100000,61700000,10600000,DDoS,1
80,949129,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,12256.50043,8.428780492,135589.8571,358227.3334,947973,4,853,426.5,464.5691552,755,98,948906,237226.5,473831.1008,947973,4,0,0,0,0,72,112,3.160792685,5.267987808,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,5345855,5,0,30,0,6,6,6,0,0,0,0,0,5.611824488,0.935304081,1336463.75,2672276.872,5344879,1,5345855,1336463.75,2672276.872,5344879,1,0,0,0,0,0,0,0,0,0,100,0,0.935304081,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,976,0,976,976,5344879,0,5344879,5344879,DDoS,1
